style,ISc2,GC_S,GC_P,GC_C,gender,age,birth,ethnic,religion,school,class,major,firstlang,secondlang,intl_travel,s_abroad,travel,studyabroad
1,98,20,24,40,F,NON-TRAD,US,WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,78,13,24,32,F,TRAD,US,WHITE,Christian,10,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,77,17,23,33,F,TRAD,NON-US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,80,16,21,33,F,NON-TRAD,US,WHITE,Christian,2,Undergraduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,107,25,30,44,F,TRAD,US,WHITE,Non-Christian,9,Undergraduate,Eled,ENGLISH,1,4,1,FiveSeven,1
1,98,26,24,39,M,NON-TRAD,NON-US,NON-WHITE,Christian,10,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,113,35,24,51,F,NON-TRAD,NON-US,NON-WHITE,Non-Christian,10,Undergraduate,SpEd,NON-ENGLISH,2,5,,Eight_plus,0
1,85,23,19,38,F,TRAD,US,WHITE,Christian,9,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,61,8,15,17,F,NON-TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,86,15,23,32,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,84,17,23,29,F,TRAD,US,NON-WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,75,12,17,30,F,TRAD,US,WHITE,Christian,8,Undergraduate,Secondary,ENGLISH,2,2,1,Once,1
1,84,13,22,32,F,TRAD,US,WHITE,Non-Christian,8,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,106,24,28,49,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,2,3,1,TwoFour,1
1,88,22,21,31,F,TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,2,4,,FiveSeven,0
1,65,12,12,22,M,TRAD,US,NON-WHITE,Christian,8,Undergraduate,Other,ENGLISH,2,3,,TwoFour,0
1,74,13,21,34,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,96,20,23,33,F,TRAD,US,NON-WHITE,Non-Christian,8,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,98,28,25,45,M,TRAD,US,NON-WHITE,Non-Christian,9,Undergraduate,Secondary,ENGLISH,2,2,,Once,0
1,83,23,19,37,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,96,22,25,44,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,92,19,19,34,M,TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,1,4,,FiveSeven,0
1,95,19,18,34,M,TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,2,1,,Never,0
1,95,19,20,51,F,TRAD,US,NON-WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,82,18,28,38,F,NON-TRAD,US,WHITE,Non-Christian,8,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,83,15,21,27,F,TRAD,US,NON-WHITE,Non-Christian,8,Undergraduate,SpEd,ENGLISH,2,3,,TwoFour,0
1,75,16,21,24,F,NON-TRAD,US,WHITE,Christian,8,Graduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,76,10,13,18,F,TRAD,US,WHITE,Non-Christian,8,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,76,13,19,32,F,TRAD,US,WHITE,Non-Christian,8,Undergraduate,Secondary,ENGLISH,2,3,,TwoFour,0
1,78,20,26,38,F,NON-TRAD,US,WHITE,Christian,8,Graduate,Other,ENGLISH,1,2,,Once,0
1,62,7,10,19,F,TRAD,US,NON-WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,80,12,24,33,F,TRAD,US,WHITE,Christian,8,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,91,20,19,42,F,TRAD,US,WHITE,Non-Christian,8,Undergraduate,Secondary,ENGLISH,1,5,1,Eight_plus,1
1,79,12,24,28,F,NON-TRAD,US,WHITE,Christian,8,Undergraduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,100,20,25,39,F,TRAD,US,WHITE,Christian,8,Undergraduate,SpEd,ENGLISH,2,2,,Once,0
1,82,22,20,40,F,NON-TRAD,NON-US,WHITE,Christian,8,Undergraduate,SpEd,NON-ENGLISH,1,3,,TwoFour,0
1,83,18,23,35,F,TRAD,US,WHITE,Christian,8,Undergraduate,Secondary,ENGLISH,1,3,,TwoFour,0
1,80,21,23,36,M,TRAD,US,NON-WHITE,Christian,8,Undergraduate,Other,NON-ENGLISH,2,4,,FiveSeven,0
1,81,13,19,28,M,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,84,11,21,28,F,TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,1,4,,FiveSeven,0
1,78,14,21,32,F,NON-TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,86,19,20,38,F,TRAD,US,WHITE,Christian,8,Undergraduate,Other,ENGLISH,1,2,,Once,0
1,102,31,27,44,F,NON-TRAD,US,NON-WHITE,Christian,8,Graduate,Other,ENGLISH,2,3,,TwoFour,0
1,90,20,26,36,F,TRAD,US,WHITE,Christian,8,Undergraduate,Eled,ENGLISH,2,1,,Never,0
1,98,25,29,46,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,87,20,27,38,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,89,28,26,42,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,1,TwoFour,1
1,104,25,29,43,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,82,22,25,36,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,77,11,15,17,F,TRAD,US,WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,94,13,22,31,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,66,12,23,30,M,TRAD,US,WHITE,Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,96,25,26,42,F,TRAD,NON-US,NON-WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,87,22,21,41,F,NON-TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
1,100,23,26,44,F,TRAD,US,NON-WHITE,Non-Christian,6,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,95,31,28,43,F,TRAD,NON-US,NON-WHITE,Non-Christian,6,Undergraduate,Eled,NON-ENGLISH,2,5,,Eight_plus,0
1,79,11,19,27,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,85,20,23,32,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,4,,FiveSeven,0
1,101,31,26,47,F,NON-TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,68,9,10,25,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,88,30,27,43,F,TRAD,NON-US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,2,4,1,FiveSeven,1
1,88,14,22,42,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
1,64,19,26,28,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,1,,Never,0
1,91,29,25,44,M,TRAD,US,WHITE,Non-Christian,6,Graduate,Secondary,ENGLISH,1,3,1,TwoFour,1
